    ID |    NAME       |  RA   |  DEC  |  MAJOR_DIAMETER | TYPE | SPECTRAL_INDEX|  ALT_NAMES         |       CLASS     | DUMMY
    101|SNR G353.9-02.0|264.729|-35.183|          13.0|S   |          0.50|                          |        SNR SHELL|
    102|SNR G352.7-00.1|261.917|-35.117|           8.0|S   |          0.60|                          |        SNR SHELL|
    103|SNR G353.6-00.7|263.000|-34.733|          30.0|S   |              |                          |        SNR SHELL|
    104|SNR G354.1+00.1|262.617|-33.767|          15.0|C?  |              |                          |    SNR COMPOSITE|
    105|SNR G355.9-02.5|266.471|-33.717|          13.0|S   |          0.50|                          |        SNR SHELL|
    106|SNR G354.8-00.8|264.000|-33.700|          19.0|S   |              |                          |        SNR SHELL|
    107|SNR G356.3-01.5|265.646|-32.867|          20.0|S   |              |                          |        SNR SHELL|
    108|SNR G355.6-00.0|263.817|-32.633|           8.0|S   |              |                          |        SNR SHELL|
    109|SNR G355.4+00.7|262.833|-32.433|          25.0|S   |              |                          |        SNR SHELL|
    110|SNR G356.3-00.3|264.483|-32.267|          11.0|S   |              |                          |        SNR SHELL|
    111|SNR G357.7-00.1|265.121|-30.967|           8.0|?   |          0.40|MSH 17-39                 |              SNR|
    112|SNR G357.7+00.3|264.646|-30.733|          24.0|S   |          0.40|                          |        SNR SHELL|
    113|SNR G358.5-00.9|266.542|-30.667|          17.0|S   |              |                          |        SNR SHELL|
    114|SNR G359.0-00.9|266.708|-30.267|          23.0|S   |          0.50|                          |        SNR SHELL|
    115|SNR G358.1+00.1|264.250|-29.983|          20.0|S   |              |                          |        SNR SHELL|
    116|SNR G359.1-00.5|266.375|-29.950|          24.0|S   |          0.40|                          |        SNR SHELL|
    117|SNR G356.2+04.5|259.750|-29.667|          25.0|S   |          0.70|                          |        SNR SHELL|
    118|SNR G359.1+00.9|264.900|-29.183|          12.0|S   |              |                          |        SNR SHELL|
    119|SNR G000.0+00.0|266.433|-29.000|           3.5|S   |          0.80|SGR A EAST                |        SNR SHELL|
    120|SNR G000.3+00.0|266.562|-28.633|          15.0|S   |          0.60|                          |        SNR SHELL|
    121|SNR G358.0+03.8|261.500|-28.600|          38.0|S   |              |                          |        SNR SHELL|
    122|SNR G000.9+00.1|266.837|-28.150|           8.0|C   |              |                          |    SNR COMPOSITE|
    123|SNR G001.0-00.1|267.125|-28.150|           8.0|S   |          0.60|                          |        SNR SHELL|
    124|SNR G001.4-00.1|267.413|-27.767|          10.0|S   |              |                          |        SNR SHELL|
    125|SNR G001.9+00.3|267.188|-27.167|           1.5|S   |          0.60|                          |        SNR SHELL|
    126|SNR G004.2-03.5|272.229|-27.050|          28.0|S   |          0.60|                          |        SNR SHELL|
    127|SNR G003.7-00.2|268.858|-25.833|          14.0|S   |          0.65|                          |        SNR SHELL|
    128|SNR G005.2-02.6|271.875|-25.750|          18.0|S   |          0.60|                          |        SNR SHELL|
    129|SNR G003.8+00.3|268.229|-25.467|          18.0|S?  |          0.60|                          |        SNR SHELL|
    130|SNR G005.4-01.2|270.542|-24.900|          35.0|C?  |          0.20|MILNE 56                  |    SNR COMPOSITE|
    131|SNR G007.7-03.7|274.354|-24.067|          22.0|S   |          0.32|1814-24                   |        SNR SHELL|
    132|SNR G005.5+00.3|269.267|-24.000|          15.0|S   |          0.70|                          |        SNR SHELL|
    133|SNR G008.7-05.0|276.042|-23.800|          26.0|S   |          0.30|                          |        SNR SHELL|
    134|SNR G006.5-00.4|270.546|-23.567|          18.0|S   |          0.60|                          |        SNR SHELL|
    135|SNR G006.4-00.1|270.125|-23.433|          48.0|C   |              |W28                       |    SNR COMPOSITE|
    136|SNR G006.1+00.5|269.371|-23.417|          18.0|S   |          0.90|                          |        SNR SHELL|
